Hofname,clean_address,Wohnungen,Lokale
Lützow-Hof,"1140 Wien, Linzer Straße",171,10
Josef-Rautmann-Hof,"1140 Wien, Hauptstraße",20,0
Anton-Figl-Hof,"1140 Wien, Hernstorferstraße",382,26
Forstnerhof,"1150 Wien, Alliogasse",134,31
Heimhof,"1150 Wien, Pilgerimgasse",171,36
Ebert-Hof,"1150 Wien, Hütteldorfer Straße",179,12
Johann-Witzmann-Hof,"1150 Wien, Reuenthalgasse",186,13
Vogelweidhof,"1150 Wien, Wurzbachgasse",110,13
Paula-Mistinger-Mraz-Hof,"1150 Wien, Fünfhausgasse",19,1
Grassingerhof,"1150 Wien, Brunhildengasse",117,0
Käthe-Königstetter-Hof,"1150 Wien, Tautenhayngasse",130,1
Skarethof,"1150 Wien, Diefenbachgasse",106,9
Johann-Hartmann-Hof,"1150 Wien, Meiselstraße",123,3
Karl-Frey-Hof,"1150 Wien, Hütteldorfer Straße",235,21
Heinrich-Hajek-Hof,"1150 Wien, Oeverseestraße",250,13
Schuhmeier-Hof,"1160 Wien, Pfenninggeldgasse",276,12
Wohnhausanlage Sandleiten,"1160 Wien, Sandleitengasse",1513,148
Dr.-Friedrich-Becke-Hof,"1160 Wien, Thalhaimergasse",199,14
Davidhof,"1160 Wien, Effingergasse",239,5
Karl-Volkert-Hof,"1160 Wien, Thaliastraße",228,10
Pirquethof,"1160 Wien, Herbststrasse",236,7
Severhof,"1160 Wien, Maroltingergasse",83,6
Siegelhof,"1160 Wien, Redtenbachergasse",93,3
Adelheid-Popp-Hof,"1160 Wien, Possingergasse",235,7
Austerlitz-Hof,"1160 Wien, Lorenz-Mandl-Gasse",129,0
Franz-Novy-Hof,"1160 Wien, Koppstraße",793,25
Fleminghof,"1160 Wien, Josef-Weinheber Platz",525,30
Berliner Hof,"1160 Wien, Koppstraße",247,15
Wiedenhoferhof,"1170 Wien, Zeillergasse",241,38
Türkenritthof,"1170 Wien, Hernalser Hauptstraße",77,20
Holyhof,"1170 Wien, Gräffergasse",103,3
Eiflerhof,"1170 Wien, Hernalser Hauptstraße",183,9
Wohnhausanlage Freiheitssiedlung,"1170 Wien, Steinmüllergasse",125,6
Karl-Panek-Hof,"1170 Wien, Neuwaldegger Straße",116,10
Pfannenstielhof,"1180 Wien, Kreuzgasse",176,17
Lindenhof,"1180 Wien, Kreuzgasse",306,34
Toeplerhof,"1180 Wien, Währinger Straße",64,8
