NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE_STATA;SUB_DISTRICT_CODE_VIE;NAME_STATA;NAME_VIE
AT1;AT13;AT130;92100;9210104;92104;Nordrandsiedlung;Nordrandsiedlung
AT1;AT13;AT130;92100;9210105;92105;Großfeldsiedlung;Großfeldsiedlung
AT1;AT13;AT130;92100;9210106;92106;Leopoldau;Leopoldau
AT1;AT13;AT130;92100;9210107;92107;Leopoldauerstraße - Siemensstraße;Siemens City
AT1;AT13;AT130;92100;9210108;92108;Gaswerk Leopoldau;Gaswerk Leopoldau
AT1;AT13;AT130;92100;9210109;92109;Schotterfeld;Schotterfeld - Heinz-Nittel-Hof
AT1;AT13;AT130;92100;9210110;92110;Siedlung Siemensstraße;Siedlung Siemensstraße
AT1;AT13;AT130;92100;9210111;92111;Groß-Jedlersdorf;Groß-Jedlersdorf
AT1;AT13;AT130;92100;9210112;92112;Jochbergen;Ödenburger Straße
AT1;AT13;AT130;92100;9210113;92113;Strebersdorf ;Strebersdorf 
AT1;AT13;AT130;92100;9210114;92114;Stebersdorf-Prager Straße;Stebersdorf-Prager Straße
AT1;AT13;AT130;92100;9210115;92115;Autokader;Autokader
AT1;AT13;AT130;92100;9210116;92116;Schwarzlackenau;Schwarzlackenau
AT1;AT13;AT130;92100;9210117;92117;Neu-Jedlesee;Neu-Jedlesee
AT1;AT13;AT130;92100;9210118;92118;Alt-Jedlesee;Alt-Jedlesee
AT1;AT13;AT130;92100;9210119;92119;Koloniestraße;Koloniestraße
AT1;AT13;AT130;92100;9210120;92120;Shuttleworthstraße;Shuttleworthstraße
AT1;AT13;AT130;92100;9210121;92121;Floridsdorf-Brünner Straße;Floridsdorf-Brünner Straße
AT1;AT13;AT130;92100;9210122;92122;Floridsdorf-am Spitz;Floridsdorf-Am Spitz
AT1;AT13;AT130;92100;9210123;92123;Donaufeld;Donaufeld-Hoßplatz
AT1;AT13;AT130;92100;9210124;92124;Donaufeld - Leopoldauer Straße;Donaufeld-Töllergasse
AT1;AT13;AT130;92100;9210125;92125;Donaufeld Gärtnergeb;Donaufeld-Veterinärmedizinische 
AT1;AT13;AT130;92100;9210126;92126;Mühlschüttel;Mühlschüttel
AT1;AT13;AT130;92100;9210127;92127;Bruckhaufen;Bruckhaufen
AT1;AT13;AT130;92100;9210128;92128;Industriegelände - Eisenbahndreieck;Krankenhaus Nord
AT1;AT13;AT130;92100;9210129;92129;noname (9210129);Bahnhof Jedlersdorf
AT1;AT13;AT130;92100;9210130;92130;noname (9210129);Industriegebiet Strebersdorf
AT1;AT13;AT130;92200;9220101;92201;Süßenbrunn;Süßenbrunn
AT1;AT13;AT130;92200;9220102;92202;Breitenlee;Breitenlee
AT1;AT13;AT130;92200;9220103;92203;Neu-Eßling;Neu-Eßling
