Gebaeudebestand in 250 Zaehlbezirken in Wien - Registerzaehlung 2021 | Building stock in 250 sub-districts in Vienna - Census 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;GEB_TOTAL;OBJ_TYP_1;OBJ_TYP_2;OBJ_TYP_3;OBJ_TYP_4;OBJ_TYP_5;OBJ_WSA_1;OBJ_WSA_2;OBJ_ANZWHG_0;OBJ_ANZWHG_1;OBJ_ANZWHG_2;OBJ_ANZWHG_3;OBJ_ANZWHG_4;OBJ_ANZWHG_5;OBJ_ANZWHG_6;OBJ_EIGENT_1;OBJ_EIGENT_2;OBJ_EIGENT_3;OBJ_EIGENT_4;OBJ_FLNETTO_1;OBJ_FLNETTO_2;OBJ_FLNETTO_3;OBJ_FLNETTO_4;OBJ_FLNETTO_5;OBJ_ANZGESCHO_1;OBJ_ANZGESCHO_2;OBJ_ANZGESCHO_3;OBJ_ANZGESCHO_4;OBJ_ANZGESCHO_5;OBJ_ANZGESCHO_6;OBJ_ANZGESCHO_7;OBJ_BAUP_1;OBJ_BAUP_2;OBJ_BAUP_3;OBJ_BAUP_4;OBJ_BAUP_5;OBJ_BAUP_6;OBJ_BAUP_7;OBJ_BAUP_8;REF_DATE
AT1;AT13;AT130;91000;91021;533;229;6;259;1;38;409;124;29;232;7;17;149;73;26;241;211;69;12;244;7;54;140;88;195;63;109;125;17;16;8;1;6;10;25;52;249;136;54;20211031
AT1;AT13;AT130;91000;91022;244;2;0;198;1;43;214;30;22;6;4;16;27;95;74;197;7;18;22;8;9;13;64;150;9;8;29;52;28;117;1;112;10;32;46;9;9;6;20;20211031
AT1;AT13;AT130;91000;91023;314;24;2;261;2;25;291;23;17;28;2;8;28;119;112;126;122;42;24;20;8;15;124;147;30;18;7;71;37;148;3;51;57;45;73;5;9;3;71;20211031
AT1;AT13;AT130;91100;91101;125;11;0;34;3;77;46;79;73;14;0;0;1;11;26;40;9;17;59;26;3;5;18;73;54;14;5;3;5;41;3;32;5;8;2;2;6;5;65;20211031
AT1;AT13;AT130;91100;91102;673;32;11;516;10;104;577;96;76;41;21;21;70;317;127;261;247;105;60;53;21;39;284;276;79;43;46;128;120;256;1;133;79;112;102;63;46;11;127;20211031
AT1;AT13;AT130;91100;91103;695;102;6;517;1;69;571;124;50;110;10;15;69;313;128;346;192;107;50;120;15;34;231;295;104;54;42;119;100;274;2;138;104;134;94;43;63;26;93;20211031
AT1;AT13;AT130;91100;91104;298;126;2;104;0;66;164;134;55;133;2;3;7;50;48;155;79;34;30;130;8;9;45;106;146;30;10;23;19;63;7;33;15;72;27;28;51;28;44;20211031
AT1;AT13;AT130;91100;91105;980;460;32;417;1;70;843;137;47;475;32;54;169;143;60;410;380;157;33;467;101;126;161;125;344;196;143;150;76;69;2;47;307;181;147;54;85;46;113;20211031
AT1;AT13;AT130;91100;91106;187;87;0;10;0;90;92;95;87;88;1;3;6;2;0;98;25;13;51;103;7;11;24;42;58;112;13;3;1;0;0;10;7;5;20;4;4;9;128;20211031
AT1;AT13;AT130;91100;91107;1056;832;24;151;1;48;683;373;35;843;25;10;19;72;52;842;152;34;28;855;23;15;52;111;667;218;37;26;26;73;9;57;142;241;149;70;77;70;250;20211031
