"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Rauchfangkehrergasse 26";"1150 Wien, Rauchfangkehrergasse Rauchfangkehrergasse";"1924";"1925";"";"Anton Brenner";"nein";"";"";"33";"3";"https://www.wwpipe.at/web-portal/complex-description/0815320"
"Graumanngasse 31-33";"1150 Wien, Graumanngasse Graumanngasse";"1927";"1928";"";"Hans Seitl, Alexander Graf";"nein";"";"";"42";"4";"https://www.wwpipe.at/web-portal/complex-description/0815321"
"Braunhirschengasse 12-20";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1957";"1959";"";"Emil Hoppe, Ulrike Manhardt";"ja";"";"";"42";"7";"https://www.wwpipe.at/web-portal/complex-description/0815323"
"Tautenhayngasse 28";"1150 Wien, Tautenhayngasse Tautenhayngasse";"1935";"1936";"";"Franz Wiesmann";"ja";"";"";"150";"7";"https://www.wwpipe.at/web-portal/complex-description/0815325"
"Camillo-Sitte-Gasse 11-13";"1150 Wien, Camillo-Sitte-Gasse Camillo-Sitte-Gasse";"1943";"1944";"";"Rudolf Eisler";"nein";"";"";"49";"0";"https://www.wwpipe.at/web-portal/complex-description/0815326"
"Matthias-Schˆnerer-Gasse 14-18";"1150 Wien, Matthias-Schˆnerer-Gasse Matthias-Schˆnerer-Gasse";"1941";"1942";"";"Viktor Reiter";"nein";"";"";"67";"0";"https://www.wwpipe.at/web-portal/complex-description/0815327"
"Jheringgasse 3-5";"1150 Wien, Jheringgasse Jheringgasse";"1940";"1941";"";"Alfred Kraupa";"nein";"";"";"35";"0";"https://www.wwpipe.at/web-portal/complex-description/0815328"
"Alliogasse 8-10";"1150 Wien, Alliogasse Alliogasse";"1941";"1944";"";"Erich Oberdorfer";"nein";"";"";"118";"0";"https://www.wwpipe.at/web-portal/complex-description/0815329"
"Tellgasse 18";"1150 Wien, Tellgasse Tellgasse";"1959";"1960";"";"Franz Peck";"nein";"";"";"14";"0";"https://www.wwpipe.at/web-portal/complex-description/0615330"
"Nobilegasse 36";"1150 Wien, Nobilegasse Nobilegasse";"1949";"1950";"";"Leonhard G. Schˆppler";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/0815331"
"Sturzgasse 29";"1150 Wien, Sturzgasse Sturzgasse";"1949";"1950";"";"Rudolf Scherer";"ja";"";"";"14";"0";"https://www.wwpipe.at/web-portal/complex-description/0815332"
"Plunkergasse 4-12";"1150 Wien, Plunkergasse Plunkergasse";"1950";"1954";"";"Karl Musel, Karl Janeschitz, Ernst W. Irsigler, Emil Dietrich, Fritz Z¸gner";"ja";"";"";"155";"10";"https://www.wwpipe.at/web-portal/complex-description/0815333"
"F¸nfhausgasse 16-18";"1150 Wien, F¸nfhausgasse F¸nfhausgasse";"1950";"1951";"";"Karl Kaill";"nein";"";"";"42";"3";"https://www.wwpipe.at/web-portal/complex-description/0815334"
"Grimmgasse 17";"1150 Wien, Grimmgasse Grimmgasse";"1952";"1953";"";"Walther Raschka";"nein";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/0815335"
"Gablenzgasse 41";"1150 Wien, Gablenzgasse Gablenzgasse";"1952";"1953";"";"Fritz Z¸gner, Emil Dietrich, Florian Omasta";"ja";"";"";"190";"7";"https://www.wwpipe.at/web-portal/complex-description/0815336"
"Loeschenkohlgasse 3";"1150 Wien, Loeschenkohlgasse Loeschenkohlgasse";"1954";"1955";"";"Franz Tominsek";"ja";"";"";"26";"0";"https://www.wwpipe.at/web-portal/complex-description/0815340"
"Graumanngasse 12";"1150 Wien, Graumanngasse Graumanngasse";"1966";"1968";"";"Heinrich Schwetter";"ja";"";"";"34";"4";"https://www.wwpipe.at/web-portal/complex-description/0415342"
"Kellinggasse 7";"1150 Wien, Kellinggasse Kellinggasse";"1953";"1954";"";"Ludwig Schmid";"nein";"";"";"10";"1";"https://www.wwpipe.at/web-portal/complex-description/0815344"
"Gablenzgasse 27";"1150 Wien, Gablenzgasse Gablenzgasse";"1956";"1957";"";"Hans Paar";"ja";"";"";"44";"3";"https://www.wwpipe.at/web-portal/complex-description/0815345"
"Witzelsbergergasse 16-18";"1150 Wien, Witzelsbergergasse Witzelsbergergasse";"1956";"1957";"";"Leonhard G. Schˆppler";"ja";"";"";"25";"0";"https://www.wwpipe.at/web-portal/complex-description/0815346"
"Turnergasse 7";"1150 Wien, Turnergasse Turnergasse";"1956";"1957";"";"Carl Leopold M¸ller";"nein";"";"";"19";"2";"https://www.wwpipe.at/web-portal/complex-description/0815347"
"Meiselstraﬂe 11";"1150 Wien, Meiselstraﬂe Meiselstraﬂe";"1957";"1959";"";"Ludwig Schmid";"ja";"";"";"57";"6";"https://www.wwpipe.at/web-portal/complex-description/0615349"
"Johnstraﬂe 81";"1150 Wien, Johnstraﬂe Johnstraﬂe";"1960";"1961";"";"Adolf Ellinger";"ja";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/0615350"
"Oelweingasse 7";"1150 Wien, Oelweingasse Oelweingasse";"1961";"1962";"";"Matth‰us Jiszda II.";"ja";"";"";"16";"1";"https://www.wwpipe.at/web-portal/complex-description/0615351"
"Alliogasse 21";"1150 Wien, Alliogasse Alliogasse";"1962";"1963";"";"Josef Baudys";"nein";"";"";"49";"3";"https://www.wwpipe.at/web-portal/complex-description/0615352"
"Braunhirschengasse 43";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1965";"1966";"";"Albrecht F. Hrzan";"nein";"";"";"10";"0";"https://www.wwpipe.at/web-portal/complex-description/0615354"
"Schwendergasse 21-23";"1150 Wien, Schwendergasse Schwendergasse";"1969";"1971";"";"Josef Baudys";"nein";"";"";"19";"3";"https://www.wwpipe.at/web-portal/complex-description/0015357"
"Braunhirschengasse 17-21";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1967";"1969";"";"Anton Valentin, Friedrich Punzmann";"nein";"";"";"29";"1";"https://www.wwpipe.at/web-portal/complex-description/0415358"
