"Hofname";"Adresse";"Baujahr von";"Baujahr bis";"Baujahr um";"Architekt";"Kunst am Bau";"Letzte Sanierung von";"Letzte Sanierung bis";"Wohnungen";"Lokale";"PDF-Download"
"Fasangartengasse 109-115";"1130 Wien, Fasangartengasse Fasangartengasse";"1963";"1964";"";"Thomas Reinthaller, Wilhelm (Willi) Gehrke, Franz Requat";"ja";"";"";"134";"5";"https://www.wwpipe.at/web-portal/complex-description/0513338"
"Gobergasse 62-72";"1130 Wien, Gobergasse Gobergasse";"1964";"1965";"";"Friedrich Pangratz";"nein";"";"";"56";"4";"https://www.wwpipe.at/web-portal/complex-description/0613341"
"Trauttmansdorffgasse 22-24";"1130 Wien, Trauttmansdorffgasse Trauttmansdorffgasse";"1969";"1970";"";"Robert Tuma";"nein";"";"";"32";"4";"https://www.wwpipe.at/web-portal/complex-description/0413342"
"Hummelgasse 56-64";"1130 Wien, Hummelgasse Hummelgasse";"1966";"1968";"";"Josef Ludwig Kalbac";"ja";"";"";"59";"6";"https://www.wwpipe.at/web-portal/complex-description/0513343"
"Hochheimgasse 26";"1130 Wien, Hochheimgasse Hochheimgasse";"1969";"1970";"";"Stefan Karabiberoff";"nein";"";"";"32";"1";"https://www.wwpipe.at/web-portal/complex-description/0413345"
"Speisinger Straﬂe 100";"1130 Wien, Speisinger Straﬂe Speisinger Straﬂe";"1970";"1971";"";"Albrecht F. Hrzan";"nein";"";"";"18";"5";"https://www.wwpipe.at/web-portal/complex-description/0413346"
"Heinrich-Hies-Hof";"1130 Wien, Schluckergasse Schluckergasse";"1971";"1972";"";"Ferdinand Gaisser, Adolf Illner";"ja";"";"";"84";"1";"https://www.wwpipe.at/web-portal/complex-description/0013347"
"Speisinger Straﬂe 68";"1130 Wien, Speisinger Straﬂe Speisinger Straﬂe";"1976";"1978";"";"Johann Pleyer";"nein";"";"";"14";"0";"https://www.wwpipe.at/web-portal/complex-description/1513348"
"Jagdschloﬂgasse 40";"1130 Wien, Jagdschloﬂgasse Jagdschloﬂgasse";"1976";"1978";"";"Max R. Gosch";"nein";"";"";"25";"0";"https://www.wwpipe.at/web-portal/complex-description/1513349"
"Schrutkagasse 1-7";"1130 Wien, Schrutkagasse Schrutkagasse";"1981";"1983";"";"Manfred Nehrer, Reinhard Medek";"nein";"";"";"28";"3";"https://www.wwpipe.at/web-portal/complex-description/1613352"
"Versorgungsheimstraﬂe 19";"1130 Wien, Versorgungsheimstraﬂe Versorgungsheimstraﬂe";"1978";"1980";"";"Kurt Keiter";"nein";"";"";"22";"1";"https://www.wwpipe.at/web-portal/complex-description/1513353"
"Friedrich-Engels-Platz 9";"1200 Wien, Friedrich-Engels-Platz Friedrich-Engels-Platz";"1930";"1933";"";"Rudolf Perco";"ja";"";"";"326";"4";"https://www.wwpipe.at/web-portal/complex-description/0820316"
"Aignerstraﬂe 8-14";"1200 Wien, Aignerstraﬂe Aignerstraﬂe";"1930";"1932";"";"Rudolf Perco";"nein";"";"";"55";"0";"https://www.wwpipe.at/web-portal/complex-description/0820322"
"Hauptstraﬂe 105";"1140 Wien, Hauptstraﬂe Hauptstraﬂe";"1968";"1969";"";"Ernst Otto Hoffmann";"nein";"";"";"13";"1";"https://www.wwpipe.at/web-portal/complex-description/0314038"
"Pevetzgasse 4";"1140 Wien, Pevetzgasse Pevetzgasse";"";"";"1890";"Matth‰us Bohdal";"nein";"";"";"0";"0";"https://www.wwpipe.at/web-portal/complex-description/0314053"
"H¸ttelbergstraﬂe 26 a";"1140 Wien, H¸ttelbergstraﬂe H¸ttelbergstraﬂe";"";"";"1886";"Otto Wagner";"nein";"";"";"3";"0";"https://www.wwpipe.at/web-portal/complex-description/0314071"
"H¸tteldorfer Straﬂe 265-267";"1140 Wien, H¸tteldorfer Straﬂe H¸tteldorfer Straﬂe";"1924";"1925";"";"Josef Beer";"ja";"";"";"51";"8";"https://www.wwpipe.at/web-portal/complex-description/0814301"
"Phillipsgasse 8";"1140 Wien, Phillipsgasse Phillipsgasse";"1924";"1925";"";"Hans Jaksch, Siegfried Theiﬂ";"ja";"";"";"164";"28";"https://www.wwpipe.at/web-portal/complex-description/0814302"
"Goldschlagstraﬂe 193-195";"1140 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1925";"1926";"";"Heinrich Vana";"nein";"";"";"47";"7";"https://www.wwpipe.at/web-portal/complex-description/0814305"
"Lenneisgasse 11-13";"1140 Wien, Lenneisgasse Lenneisgasse";"1925";"1926";"";"Konstantin Peller";"ja";"";"";"133";"9";"https://www.wwpipe.at/web-portal/complex-description/0814306"
"Meiselstraﬂe 67-69";"1140 Wien, Meiselstraﬂe Meiselstraﬂe";"1925";"1926";"";"Rudolf Sowa, Anton Drexler, Rudolf (Rolf) Eugen Heger";"nein";"";"";"257";"7";"https://www.wwpipe.at/web-portal/complex-description/0814307"
"Linzer Straﬂe 254";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1925";"1926";"";"Michael Rosenauer";"ja";"";"";"101";"14";"https://www.wwpipe.at/web-portal/complex-description/0814308"
"H¸ttelbergstraﬂe 7";"1140 Wien, H¸ttelbergstraﬂe H¸ttelbergstraﬂe";"1927";"1928";"";"Wilhelm Peterle";"nein";"";"";"20";"3";"https://www.wwpipe.at/web-portal/complex-description/0814309"
"Meiselstraﬂe 76";"1140 Wien, Meiselstraﬂe Meiselstraﬂe";"1928";"1928";"";"Josef Beer";"nein";"";"";"14";"1";"https://www.wwpipe.at/web-portal/complex-description/0814310"
"Cervantesgasse 9";"1140 Wien, Cervantesgasse Cervantesgasse";"1928";"1929";"";"Rudolf (Rolf) Eugen Heger";"nein";"";"";"12";"0";"https://www.wwpipe.at/web-portal/complex-description/0814311"
"Neubeckgasse 4";"1140 Wien, Neubeckgasse Neubeckgasse";"1928";"1929";"";"Alfred Adler";"nein";"";"";"15";"1";"https://www.wwpipe.at/web-portal/complex-description/0814312"
"Meiselstraﬂe 73";"1140 Wien, Meiselstraﬂe Meiselstraﬂe";"";"";"1928";"Theodor Schˆll";"nein";"";"";"11";"0";"https://www.wwpipe.at/web-portal/complex-description/0814313"
"Gr¸ndorfgasse 4";"1140 Wien, Gr¸ndorfgasse Gr¸ndorfgasse";"";"";"1928";"Heinrich Ried";"ja";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/0814314"
"Cervantesgasse 3";"1140 Wien, Cervantesgasse Cervantesgasse";"";"";"1928";"Klemens M. Kattner";"ja";"";"";"25";"0";"https://www.wwpipe.at/web-portal/complex-description/0814315"
"Hickelgasse 12";"1140 Wien, Hickelgasse Hickelgasse";"";"";"1928";"Adolf Paar, Hans Paar";"nein";"";"";"13";"4";"https://www.wwpipe.at/web-portal/complex-description/0814316"
"Mitisgasse 36-38";"1140 Wien, Mitisgasse Mitisgasse";"1960";"1961";"";"Karl Hartl";"ja";"";"";"42";"1";"https://www.wwpipe.at/web-portal/complex-description/0614317"
"Sebastian-Kelch-Gasse 4-6";"1140 Wien, Sebastian-Kelch-Gasse Sebastian-Kelch-Gasse";"1928";"1929";"";"Heinrich Vana";"nein";"";"";"23";"1";"https://www.wwpipe.at/web-portal/complex-description/0814319"
"Sebastian-Kelch-Gasse 5-7";"1140 Wien, Sebastian-Kelch-Gasse Sebastian-Kelch-Gasse";"1928";"1929";"";"Karl Holey";"ja";"";"";"36";"3";"https://www.wwpipe.at/web-portal/complex-description/0814320"
"Gr¸ndorfgasse 1-3";"1140 Wien, Gr¸ndorfgasse Gr¸ndorfgasse";"1928";"1929";"";"Viktor Fenzl";"nein";"";"";"34";"3";"https://www.wwpipe.at/web-portal/complex-description/0814321"
"Fenzlgasse 31";"1140 Wien, Fenzlgasse Fenzlgasse";"1957";"1959";"";"Leonhard G. Schˆppler";"ja";"";"";"24";"3";"https://www.wwpipe.at/web-portal/complex-description/0814323"
"Sebastian-Kelch-Gasse 1-3";"1140 Wien, Sebastian-Kelch-Gasse Sebastian-Kelch-Gasse";"1928";"1929";"";"Josef Frank";"nein";"";"";"49";"6";"https://www.wwpipe.at/web-portal/complex-description/0814324"
"Goldschlagstraﬂe 148-158";"1140 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1951";"1956";"";"Hans Wˆlfl, Franz Zajicek, Rudolf Bazalka, Hans Dedek";"ja";"";"";"254";"8";"https://www.wwpipe.at/web-portal/complex-description/0814325"
"Hickelgasse 16";"1140 Wien, Hickelgasse Hickelgasse";"";"";"1929";"Helmut Wagner-Freynsheim";"nein";"";"";"15";"0";"https://www.wwpipe.at/web-portal/complex-description/0814326"
"Johanna-Dohnal-Hof";"1140 Wien, Jenullgasse Jenullgasse";"1931";"1932";"";"Wilhelm Paul Wohlmeyer, Friedrich Pindt, Hans Kukula";"nein";"";"";"92";"0";"https://www.wwpipe.at/web-portal/complex-description/0814327"
"Onno-Klopp-Gasse 12-16";"1140 Wien, Onno-Klopp-Gasse Onno-Klopp-Gasse";"1929";"1956";"";"Karl Badstieber, Walther Raschka";"ja";"";"";"140";"13";"https://www.wwpipe.at/web-portal/complex-description/0814328"
"Goldschlagstraﬂe 144-146";"1140 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1929";"1930";"";"Rudolf Sowa";"nein";"";"";"119";"9";"https://www.wwpipe.at/web-portal/complex-description/0814329"
"Linzer Straﬂe 374";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1958";"1959";"";"Rudolf Dinner";"ja";"";"";"21";"0";"https://www.wwpipe.at/web-portal/complex-description/0614330"
"Dreyhausenstraﬂe 28-30";"1140 Wien, Dreyhausenstraﬂe Dreyhausenstraﬂe";"1942";"1942";"";"Rudolf Felsenstein";"ja";"";"";"25";"1";"https://www.wwpipe.at/web-portal/complex-description/0814331"
"Breitenseer Straﬂe 106-108";"1140 Wien, Breitenseer Straﬂe Breitenseer Straﬂe";"1931";"1932";"";"Hugo Gorge";"nein";"";"";"146";"5";"https://www.wwpipe.at/web-portal/complex-description/0814333"
"Rupertgasse 6-16";"1140 Wien, Rupertgasse Rupertgasse";"1930";"1931";"";"Franz Wiesmann, Engelbert Mang";"ja";"";"";"120";"5";"https://www.wwpipe.at/web-portal/complex-description/0814334"
"Penzinger Straﬂe 138-140";"1140 Wien, Penzinger Straﬂe Penzinger Straﬂe";"1930";"1931";"";"Alexander Popp";"ja";"";"";"123";"7";"https://www.wwpipe.at/web-portal/complex-description/0814335"
"Hickelgasse 11";"1140 Wien, Hickelgasse Hickelgasse";"1930";"1931";"";"Walter Pind";"ja";"";"";"13";"0";"https://www.wwpipe.at/web-portal/complex-description/0814336"
"Breitenseer Straﬂe 110-112";"1140 Wien, Breitenseer Straﬂe Breitenseer Straﬂe";"1930";"1931";"";"Hugo Mayer";"nein";"";"";"425";"14";"https://www.wwpipe.at/web-portal/complex-description/0814337"
"Linzer Straﬂe 60-62";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1966";"1967";"";"Alois Plessinger";"nein";"";"";"52";"6";"https://www.wwpipe.at/web-portal/complex-description/0614342"
"Hochsatzengasse 6";"1140 Wien, Hochsatzengasse Hochsatzengasse";"1949";"1950";"";"Walter Kˆhler";"ja";"";"";"21";"0";"https://www.wwpipe.at/web-portal/complex-description/0814343"
"Hickelgasse 8";"1140 Wien, Hickelgasse Hickelgasse";"1950";"1951";"";"Friedrich Euler, Herbert Thurner";"ja";"";"";"33";"1";"https://www.wwpipe.at/web-portal/complex-description/0814344"
"Goldschlagstraﬂe 142";"1140 Wien, Goldschlagstraﬂe Goldschlagstraﬂe";"1949";"1950";"";"Johann Franz W¸rzl";"ja";"";"";"29";"1";"https://www.wwpipe.at/web-portal/complex-description/0814345"
"Lenneisgasse 4-8";"1140 Wien, Lenneisgasse Lenneisgasse";"1952";"1953";"";"Walter Muchar, Walter Schreier, Norbert Laad, Wilfried Poszpisily";"ja";"";"";"252";"4";"https://www.wwpipe.at/web-portal/complex-description/0814346"
"Niederpointenstraﬂe 7";"1140 Wien, Niederpointenstraﬂe Niederpointenstraﬂe";"1967";"1969";"";"Friedrich Fuchs, Albrecht F. Hrzan";"ja";"";"";"165";"9";"https://www.wwpipe.at/web-portal/complex-description/0514347"
"Baumgartenstraﬂe 25-33";"1140 Wien, Baumgartenstraﬂe Baumgartenstraﬂe";"1952";"1953";"";"Edith Lessel";"nein";"";"";"48";"2";"https://www.wwpipe.at/web-portal/complex-description/0814348"
"Gustav-Klimt-Hof";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1967";"1968";"";"G¸nter Zeman, Alfred Viktor Pal";"nein";"";"";"118";"13";"https://www.wwpipe.at/web-portal/complex-description/0414349"
"Hadikgasse 268-272";"1140 Wien, Hadikgasse Hadikgasse";"1953";"1954";"";"Karl Hartl, Walter ProchÈ, Egon Karl Fridinger, Karl Zepke, Heinz Surbˆck";"ja";"";"";"240";"8";"https://www.wwpipe.at/web-portal/complex-description/0814350"
"Deutschordenstraﬂe 27-35";"1140 Wien, Deutschordenstraﬂe Deutschordenstraﬂe";"1953";"1955";"";"Fritz Purr, Erich Lamprecht, Georg Lippert, Ulrike Manhardt";"ja";"";"";"137";"3";"https://www.wwpipe.at/web-portal/complex-description/0814351"
"Amortgasse 1-17";"1140 Wien, Amortgasse Amortgasse";"1954";"1956";"";"Walter Muchar, Wilfried Poszpisily";"ja";"";"";"226";"10";"https://www.wwpipe.at/web-portal/complex-description/0814352"
"H¸tteldorfer Straﬂe 252";"1140 Wien, H¸tteldorfer Straﬂe H¸tteldorfer Straﬂe";"1969";"1971";"";"Stefan Karabiberoff";"ja";"";"";"55";"3";"https://www.wwpipe.at/web-portal/complex-description/0414353"
"Prochstraﬂe 21-23";"1140 Wien, Prochstraﬂe Prochstraﬂe";"1973";"1976";"";"Ernst Berg, Viktor Adler";"nein";"";"";"163";"6";"https://www.wwpipe.at/web-portal/complex-description/1214354"
"Hickelgasse 4-6";"1140 Wien, Hickelgasse Hickelgasse";"1954";"1956";"";"Ernst Lederer-Ponzer";"nein";"";"";"45";"3";"https://www.wwpipe.at/web-portal/complex-description/0814355"
"Wolfersberggasse 13-17";"1140 Wien, Wolfersberggasse Wolfersberggasse";"1954";"1955";"";"Alois Plessinger";"ja";"";"";"81";"6";"https://www.wwpipe.at/web-portal/complex-description/0814356"
"Hadikgasse 288-294";"1140 Wien, Hadikgasse Hadikgasse";"1954";"1956";"";"Friedrich Schlossberg";"ja";"";"";"75";"5";"https://www.wwpipe.at/web-portal/complex-description/0814357"
"Marcusgasse 4-12";"1140 Wien, Marcusgasse Marcusgasse";"1961";"1963";"";"Karl Kaill, Joachim Peters, Anton Josef Osika";"nein";"";"";"128";"8";"https://www.wwpipe.at/web-portal/complex-description/0614358"
"Cumberlandstraﬂe 20";"1140 Wien, Cumberlandstraﬂe Cumberlandstraﬂe";"1956";"1957";"";"Otto Nadel";"ja";"";"";"23";"0";"https://www.wwpipe.at/web-portal/complex-description/0814359"
"Linzer Straﬂe 253-255";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1972";"1973";"";"Rudolf Dinner";"nein";"";"";"24";"8";"https://www.wwpipe.at/web-portal/complex-description/1114360"
"Rudolf-Edlinger-Hof";"1140 Wien, Deutschordenstraﬂe Deutschordenstraﬂe";"1953";"1955";"";"Fritz Purr, Erich Lamprecht, Georg Lippert, Ulrike Manhardt";"ja";"";"";"133";"5";"https://www.wwpipe.at/web-portal/complex-description/0814361"
"Dreyhausenstraﬂe 46";"1140 Wien, Dreyhausenstraﬂe Dreyhausenstraﬂe";"1955";"1957";"";"Anton Brenner";"ja";"";"";"26";"1";"https://www.wwpipe.at/web-portal/complex-description/0814362"
"Sanatoriumstraﬂe 19-25";"1140 Wien, Sanatoriumstraﬂe Sanatoriumstraﬂe";"1955";"1957";"";"Josef Horacek, Josef Promintzer";"ja";"";"";"145";"9";"https://www.wwpipe.at/web-portal/complex-description/0514365"
"Hauptstraﬂe 89";"1140 Wien, Hauptstraﬂe Hauptstraﬂe";"1956";"1957";"";"Wiener Stadtbauamt, MA19";"nein";"";"";"14";"2";"https://www.wwpipe.at/web-portal/complex-description/0814366"
"M¸hlbergstraﬂe 4-6";"1140 Wien, M¸hlbergstraﬂe M¸hlbergstraﬂe";"1957";"1958";"";"Konstantin Peller";"ja";"";"";"18";"1";"https://www.wwpipe.at/web-portal/complex-description/0814368"
"H¸tteldorfer Straﬂe 268-276";"1140 Wien, H¸tteldorfer Straﬂe H¸tteldorfer Straﬂe";"1957";"1959";"";"Roland Starzen, Raoul Lavaulx";"ja";"";"";"123";"10";"https://www.wwpipe.at/web-portal/complex-description/0614369"
"Breitenseer Straﬂe 68-74";"1140 Wien, Breitenseer Straﬂe Breitenseer Straﬂe";"1957";"1959";"";"Hermann Aichinger, Heinrich Benedikt";"ja";"";"";"94";"3";"https://www.wwpipe.at/web-portal/complex-description/0814370"
"K‰the-Jonas-Hof";"1140 Wien, Waidhausenstraﬂe Waidhausenstraﬂe";"1962";"1964";"";"Walter Kˆhler, Josef Krawina";"ja";"";"";"103";"7";"https://www.wwpipe.at/web-portal/complex-description/0514371"
"Rosentalgasse 15";"1140 Wien, Rosentalgasse Rosentalgasse";"1964";"1966";"";"Hans Steineder";"ja";"";"";"103";"12";"https://www.wwpipe.at/web-portal/complex-description/0514374"
"Anzbachgasse 31";"1140 Wien, Anzbachgasse Anzbachgasse";"1967";"1969";"";"Maria Tˆlzer, Peter Tˆlzer";"ja";"";"";"219";"29";"https://www.wwpipe.at/web-portal/complex-description/0414375"
"Linzer Straﬂe 474-478";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1974";"1975";"";"Georg Russwurm";"ja";"";"";"43";"8";"https://www.wwpipe.at/web-portal/complex-description/1214376"
"Salisstraﬂe 5-15";"1140 Wien, Salisstraﬂe Salisstraﬂe";"1974";"1976";"";"Kurt Neugebauer, Friedrich (Fritz) Gr¸nberger";"ja";"";"";"112";"5";"https://www.wwpipe.at/web-portal/complex-description/1214377"
"Linzer Straﬂe 20-26";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1979";"1983";"";"Friedrich Fischer II";"nein";"";"";"48";"8";"https://www.wwpipe.at/web-portal/complex-description/1614378"
"Linzer Straﬂe 397-399";"1140 Wien, Linzer Straﬂe Linzer Straﬂe";"1979";"1983";"";"Rudolf Lamprecht";"nein";"";"";"24";"3";"https://www.wwpipe.at/web-portal/complex-description/1614381"
"Huttengasse 2-4";"1140 Wien, Huttengasse Huttengasse";"1983";"1985";"";"Bernd Neubauer";"nein";"";"";"25";"2";"https://www.wwpipe.at/web-portal/complex-description/1714384"
"Schwendergasse 15";"1150 Wien, Schwendergasse Schwendergasse";"1965";"1967";"";"Friedrich Hintermayr";"nein";"";"";"19";"2";"https://www.wwpipe.at/web-portal/complex-description/0315030"
"Braunhirschengasse 33-37";"1150 Wien, Braunhirschengasse Braunhirschengasse";"1967";"1967";"";"Albrecht F. Hrzan";"nein";"";"";"25";"2";"https://www.wwpipe.at/web-portal/complex-description/0315048"
"Wohnsiedlung Schmelz";"1150 Wien, Wohnsiedlung Schmelz Wohnsiedlung Schmelz";"1919";"1924";"";"Hugo Mayer";"ja";"";"";"719";"61";"https://www.wwpipe.at/web-portal/complex-description/0715301"
